df1_i,df2_i,df1_hrid,df2_hrid,dist_grid,overlap_h,center_diff_h,score,n_candidates,df1_dtst,df1_dten,df1_lat,df1_lon,df2_dtst,df2_dten,df2_lat,df2_lon
0,0,HR00282,HR00406,0.0,5.0,0.0,0.0,1,2002071011,2002071016,38.1,141.62,2002071010,2002071017,38.1,141.62
1,3,HR00299,HR00585,0.0,6.0,0.5,0.1,1,2009100803,2009100809,37.45,141.19,2009100802,2009100809,37.45,141.19
2,9,HR00349,HR00599,0.0,5.0,0.5,0.1,1,2018080521,2018080602,38.5,139.38,2018080520,2018080602,38.5,139.38
3,10,HR00401,HR00685,0.0,6.0,0.5,0.1,1,2019081003,2019081009,39.7,139.56,2019081002,2019081009,39.7,139.56
5,12,HR00809,HR01330,0.0,5.0,0.5,0.1,1,2022080305,2022080310,40.45,139.62,2022080305,2022080311,40.45,139.62
6,13,HR00862,HR01423,0.0,5.0,0.0,0.0,1,2022080904,2022080909,40.55,139.94,2022080904,2022080909,40.55,139.94
7,17,HR01035,HR01906,0.0,5.0,1.0,0.2,1,2024092002,2024092007,39.75,139.0,2024092000,2024092007,39.75,139.0
8,18,HR00171,HR00283,0.0,7.0,0.5,0.1,1,2000070804,2000070811,38.35,141.5,2000070804,2000070812,38.35,141.5
10,23,HR00461,HR00746,0.0,5.0,0.5,0.1,1,2007090519,2007090600,37.85,140.69,2007090518,2007090600,37.85,140.69
11,24,HR00478,HR00770,0.2817800560721053,7.0,0.0,0.2817800560721053,1,2007090705,2007090712,39.15,140.88,2007090705,2007090712,38.9,140.75
12,25,HR00346,HR00600,0.0,5.0,0.0,0.0,1,2008082822,2008082903,37.1,140.62,2008082822,2008082903,37.1,140.62
13,27,HR00578,HR00951,0.0,5.0,0.0,0.0,1,2012093022,2012100103,38.95,140.75,2012093022,2012100103,38.95,140.75
14,30,HR00180,HR00358,0.0,5.0,0.5,0.1,1,2013072216,2013072221,38.2,139.88,2013072215,2013072221,38.2,139.88
15,31,HR00235,HR00455,0.0,6.0,1.0,0.2,1,2013080906,2013080912,40.3,140.38,2013080904,2013080912,40.3,140.38
16,32,HR00240,HR00457,0.0,7.0,0.5,0.1,1,2013080907,2013080914,39.65,140.94,2013080906,2013080914,39.65,140.94
17,35,HR00428,HR00718,0.0,8.0,0.0,0.0,1,2015091020,2015091104,38.5,140.75,2015091020,2015091104,38.5,140.75
18,37,HR00438,HR00776,0.0,5.0,0.0,0.0,1,2016083014,2016083019,39.7,141.75,2016083013,2016083020,39.7,141.75
19,38,HR00475,HR00855,0.0,5.0,0.0,0.0,1,2016090823,2016090904,39.6,142.0,2016090823,2016090904,39.6,142.0
20,39,HR00278,HR00453,0.0,6.0,0.5,0.1,1,2017072214,2017072221,39.35,140.44,2017072215,2017072221,39.35,140.44
21,40,HR00279,HR00454,0.0,6.0,0.5,0.1,1,2017072300,2017072306,39.65,140.44,2017072223,2017072306,39.65,140.44
22,41,HR00453,HR00742,0.0,6.0,0.0,0.0,1,2017091722,2017091804,39.35,141.94,2017091722,2017091804,39.35,141.94
23,42,HR00342,HR00592,0.0,5.0,0.0,0.0,1,2018080511,2018080516,38.95,139.94,2018080511,2018080516,38.95,139.94
24,43,HR00347,HR00596,0.0,7.0,0.0,0.0,1,2018080522,2018080605,38.65,140.12,2018080522,2018080605,38.65,140.12
25,45,HR00453,HR00792,0.0,6.0,0.5,0.1,1,2019082723,2019082805,39.3,141.75,2019082722,2019082805,39.3,141.75
26,46,HR00582,HR01018,0.0,3.0,6.0,1.2000000000000002,1,2019101214,2019101301,39.85,141.94,2019101222,2019101305,39.85,141.94
27,49,HR00818,HR01346,0.0,6.0,0.0,0.0,1,2022080315,2022080321,37.6,140.19,2022080315,2022080321,37.6,140.19
28,14,HR00866,HR01424,0.2332380757938107,5.0,0.0,0.2332380757938107,1,2022080909,2022080914,40.35,140.06,2022080907,2022080916,40.55,139.94
29,50,HR00879,HR01460,0.0,6.0,0.0,0.0,1,2022081221,2022081303,40.15,140.62,2022081221,2022081303,40.15,140.62
30,51,HR00569,HR01037,0.0,5.0,0.5,0.1,1,2023081204,2023081209,39.35,141.81,2023081204,2023081210,39.35,141.81
31,53,HR00639,HR01224,0.0,7.0,0.0,0.0,1,2024072507,2024072514,39.0,139.94,2024072506,2024072515,39.0,139.94
32,54,HR00642,HR01234,0.0,6.0,0.0,0.0,1,2024072519,2024072601,38.8,140.06,2024072519,2024072601,38.8,140.06
33,56,HR00645,HR01236,0.0,5.0,0.0,0.0,1,2024072519,2024072600,40.0,140.19,2024072519,2024072600,40.0,140.19
